Neighborhood,Pincode,City,Latitude,Longitude
"Agriculture College , Arya Nagar , Employeement Exchange , Gsvm Medical College , Hbti , Motijheel , N C Line , Nawabganj , Purana Kanpur , Swarup Nagar ",208002,Kanpur,26.4872829,80.3090715
"Amour , Aranjhami , Baraigarh , Bausar , Behta Gambhirpur , Gazipur , Gopalpur , Harchandkhera , Kudani , Narwal , Nasra , Palhepur , Pali Bhogipur , Rasulpur Umra , Sarh , Sawaijpur , Semarjhal ",209401,Kanpur,20.4272328,85.1643896
"Anand Nagar , Kidwai Nagar , RBI Colony , Yashoda Nagar ",208011,Kanpur,26.47175745,80.28865915
"Anwarganj , Chauki Jarib ",208003,Kanpur,26.4558434,80.3281028
"Avas Vikas Yojna No. 3 , Bairi , Kalyanpur , Keshav Puram , Kheora , Nsi ",208017,Kanpur,26.5037071,80.2523965
"B N Shukla & Sons , Birhana Raod , Colonelganj , Cotton Mill , Dhankutti , Elgin Mills , Fahimabad , Farrashkhana , Gwaltoli , Hatia , K M Street , Kanpur Court , Kanpur , Kanpur West , Naveen Market , Nayaganj , Oe Factory , Philkhana ",208001,Kanpur,26.4843901,80.3291277
"Baikuthpur , Bithoor , Itra , Mandhana , Naramau , Pachor , Pem , Tatya Ganj , Tikra ",209217,Kanpur,26.6008094,80.2722286
"Barra , Barra Vishwa Bank Sector-A ",208027,Kanpur,26.4368386,80.2919268
"Bhadrsa , Bheoli , Hathigaon , Jarkala , Kamlapur , Karbigvan , Kulgaon , Maharajpur , Maholi , Mahua Gaon , Parasadepur , Phuphuwar , Prempur Badagaon , Purwameer , Rooma , Salempur , Sarsaul , Subhauli , Tilsahari ",209402,Kanpur,26.2840047,80.4884002
"Bhairampur , Bhauti Pratappur , Bhimsen , Chakarpur , Mardanpur , Senpara Paschim ",209305,Kanpur,26.4203669,80.2192921
"Bharu , Bidhnoo , Chaurai , Chhatarpur , Dehli Ujagar , Deosarh , Gayatri Seedh Peeth Khadeshar , Hardauli , Jamu , Kadari Champatpur , Kaindha , Kathara , Katherua , Majhawan , Ramaipur , Sapai , Sirhi Itra , Udaipur ",209214,Kanpur,26.3099052,80.2285769
"Binour , Bisayakpur , Fatehpur Roshnai , Jugrajpur , Parsauli , Raipur Kukhat , Rania , Sachendi ",209304,Kanpur,26.4352246,80.3227615
"Cambridge Road , Gandhi Grame , Hal Colony , Harjinder Nagar , Krishna Nagar ",208007,Kanpur,26.4161907,80.392299
"COD , Dmsrde , Shyam Nagar ",208013,Kanpur,26.4609135,80.3217588
"D O Oil Mill , Jawahar Nagar , Kaushalpuri , R K Nagar , Rambagh , Sisamau ",208012,Kanpur,26.4706637,80.3196408
"Govind Nagar , Govind Nagar West ",208006,Kanpur,26.4520246,80.3068255
Iit ,208016,Kanpur,26.5119015,80.2458787
"Juhi Colony , Nirala Nagar ",208014,Kanpur,26.4609135,80.3217588
